------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     4  0.000000000000E+00  0.000000000000E+00 -7.103139469838E+01

------ Current Surface: Coil-Plasma separation =   5.000000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      1     6 -4.222129905244E-05 -3.010117547125E-05  0.000000000000E+00  0.000000000000E+00
      1     5  1.996245626844E-04  1.968129932132E-04  0.000000000000E+00  0.000000000000E+00
      1     4 -8.257232649800E-04 -1.088490251961E-03  0.000000000000E+00  0.000000000000E+00
      1     3  1.999875063734E-03  6.439930568638E-04  0.000000000000E+00  0.000000000000E+00
      1     2 -2.219067372823E-03 -6.550523520277E-03  0.000000000000E+00  0.000000000000E+00
      1     1  1.083886673707E-01  4.700011998243E-02  0.000000000000E+00  0.000000000000E+00
      1     0  1.425130756511E+00  1.617860936684E+00  0.000000000000E+00  0.000000000000E+00
      1    -1 -3.881585410440E-01  3.287674850008E-01  0.000000000000E+00  0.000000000000E+00
      1    -2 -4.501312057091E-02  2.160998259666E-02  0.000000000000E+00  0.000000000000E+00
      1    -3 -5.170709964226E-03  5.052269243452E-04  0.000000000000E+00  0.000000000000E+00
      1    -4  1.451479524113E-03 -1.077586657754E-03  0.000000000000E+00  0.000000000000E+00
      1    -5 -2.515074283324E-04  3.578361094456E-05  0.000000000000E+00  0.000000000000E+00
      1    -6 -7.811474112602E-05  2.078131700660E-04  0.000000000000E+00  0.000000000000E+00
      1    -7  3.487134873665E-05 -4.866116267951E-05  0.000000000000E+00  0.000000000000E+00
      1    -8  2.551946396103E-06  1.184102625566E-05  0.000000000000E+00  0.000000000000E+00
      1    -9 -2.117337868463E-06 -1.035579129408E-06  0.000000000000E+00  0.000000000000E+00
      1   -10  2.012283247993E-06 -4.251317291328E-07  0.000000000000E+00  0.000000000000E+00
      1   -11 -1.162229500226E-06  4.068805047450E-07  0.000000000000E+00  0.000000000000E+00
      1   -12  5.270722932427E-07 -4.553292970258E-07  0.000000000000E+00  0.000000000000E+00
      1   -13 -1.235071758317E-07  1.113068767313E-07  0.000000000000E+00  0.000000000000E+00
      1   -14  7.745827716320E-09 -3.038296341507E-08  0.000000000000E+00  0.000000000000E+00
      1   -15  6.067680141967E-11  2.540660824097E-08  0.000000000000E+00  0.000000000000E+00
      1   -16 -1.030911343883E-08 -8.425113180827E-09  0.000000000000E+00  0.000000000000E+00
      1   -17  1.020073893212E-08  4.739441222115E-09  0.000000000000E+00  0.000000000000E+00
      1   -18  1.923514056097E-10  5.372724822127E-09  0.000000000000E+00  0.000000000000E+00
      1   -19  3.277924306446E-09  4.823505539431E-09  0.000000000000E+00  0.000000000000E+00
      1   -20 -2.003172556108E-09  1.221255344018E-09  0.000000000000E+00  0.000000000000E+00
      1   -21 -2.352609880345E-09 -3.076886050633E-09  0.000000000000E+00  0.000000000000E+00
      1   -22 -2.169954166440E-09 -3.858240704910E-09  0.000000000000E+00  0.000000000000E+00
      1   -23 -6.932002543595E-10 -2.721138726050E-09  0.000000000000E+00  0.000000000000E+00
      1   -24  2.239785427439E-10 -7.727825424931E-10  0.000000000000E+00  0.000000000000E+00
      2    24 -1.377053458242E-10  2.963094939293E-10  0.000000000000E+00  0.000000000000E+00
      2    23 -4.515894056270E-10  3.836616289558E-10  0.000000000000E+00  0.000000000000E+00
      2    22 -6.878204082683E-11 -6.933902189468E-10  0.000000000000E+00  0.000000000000E+00
      2    21  7.414541775691E-10 -1.809699977167E-09  0.000000000000E+00  0.000000000000E+00
      2    20  1.119691855076E-09 -1.805505954868E-09  0.000000000000E+00  0.000000000000E+00
      2    19  1.337169261168E-09 -1.876976414721E-09  0.000000000000E+00  0.000000000000E+00
      2    18  1.135384782394E-09  3.052056637287E-09  0.000000000000E+00  0.000000000000E+00
      2    17 -3.304466012996E-09  2.500552010733E-10  0.000000000000E+00  0.000000000000E+00
      2    16  3.087787263021E-09  9.264764238033E-09  0.000000000000E+00  0.000000000000E+00
      2    15 -1.410618517868E-08 -8.067889393086E-09  0.000000000000E+00  0.000000000000E+00
      2    14  1.740590580097E-08 -7.971916905696E-09  0.000000000000E+00  0.000000000000E+00
      2    13 -2.840687717511E-08  1.195372577687E-08  0.000000000000E+00  0.000000000000E+00
      2    12  5.739811847826E-08 -1.055850917600E-07  0.000000000000E+00  0.000000000000E+00
      2    11 -4.219796090560E-08  3.613810282250E-07  0.000000000000E+00  0.000000000000E+00
      2    10  4.139874765853E-07 -2.468165834493E-07  0.000000000000E+00  0.000000000000E+00
      2     9 -1.306239637278E-06  8.759808564635E-07  0.000000000000E+00  0.000000000000E+00
      2     8  3.347343273889E-06  8.356532193654E-07  0.000000000000E+00  0.000000000000E+00
      2     7 -3.995337683010E-06 -1.517640557508E-06  0.000000000000E+00  0.000000000000E+00
      2     6 -1.183210121821E-05 -2.508322531726E-05  0.000000000000E+00  0.000000000000E+00
      2     5  1.346472654446E-04  3.858645964235E-05  0.000000000000E+00  0.000000000000E+00
      2     4 -2.985497273908E-04 -2.838122689042E-04  0.000000000000E+00  0.000000000000E+00
      2     3  2.260583823523E-03  1.583095491629E-03  0.000000000000E+00  0.000000000000E+00
      2     2  7.494753413720E-05  3.649190779931E-03  0.000000000000E+00  0.000000000000E+00
      2     1  1.496073953317E-02  1.138000217764E-02  0.000000000000E+00  0.000000000000E+00
      2     0  9.795469037341E-02  1.148905412616E-01  0.000000000000E+00  0.000000000000E+00
      2    -1  2.031804037318E-01  1.615053315134E-01  0.000000000000E+00  0.000000000000E+00
      2    -2  8.901209616352E-02 -1.504786110196E-02  0.000000000000E+00  0.000000000000E+00
      2    -3  3.004506437467E-03  4.058529896654E-03  0.000000000000E+00  0.000000000000E+00
      2    -4  1.403607573834E-03  2.086268325585E-03  0.000000000000E+00  0.000000000000E+00
      2    -5 -1.186341820640E-03  1.092263092906E-03  0.000000000000E+00  0.000000000000E+00
      2    -6  3.259540161835E-04 -5.580312341009E-05  0.000000000000E+00  0.000000000000E+00
      2    -7 -1.883294436124E-05 -2.833201075664E-05  0.000000000000E+00  0.000000000000E+00
      2    -8 -7.826779070526E-06  2.145484751319E-05  0.000000000000E+00  0.000000000000E+00
      2    -9 -1.796296429262E-06 -5.357582259363E-06  0.000000000000E+00  0.000000000000E+00
      2   -10  9.276366245026E-09  5.585181652388E-07  0.000000000000E+00  0.000000000000E+00
      2   -11  1.849261281129E-07 -5.411303367923E-07  0.000000000000E+00  0.000000000000E+00
      2   -12  1.410776510010E-07 -9.241842566841E-08  0.000000000000E+00  0.000000000000E+00
      2   -13 -9.124967247521E-08  2.805004853634E-07  0.000000000000E+00  0.000000000000E+00
