------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     5  0.000000000000E+00  0.000000000000E+00  1.956111262946E+01

------ Current Surface: Coil-Plasma separation =   1.000000000000E+00 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      2    -6  1.992014591685E-04  2.781463275329E-05  0.000000000000E+00  0.000000000000E+00
      2    -7 -2.638867582422E-05  1.150398370001E-04  0.000000000000E+00  0.000000000000E+00
      2    -8  4.818790972745E-05 -1.816020614767E-05  0.000000000000E+00  0.000000000000E+00
      2    -9 -1.392917743190E-06  1.163062520205E-05  0.000000000000E+00  0.000000000000E+00
      2   -10  8.306015093723E-06 -4.156703864535E-06  0.000000000000E+00  0.000000000000E+00
      2   -11  1.799300024790E-07  1.238533020570E-06  0.000000000000E+00  0.000000000000E+00
      2   -12  1.207596259676E-06 -5.439342513641E-07  0.000000000000E+00  0.000000000000E+00
      2   -13  8.885664555861E-08  1.538999984782E-07  0.000000000000E+00  0.000000000000E+00
      2   -14  1.331918080434E-07 -1.105404656120E-08  0.000000000000E+00  0.000000000000E+00
      2   -15  1.983310174186E-08  3.570385444575E-08  0.000000000000E+00  0.000000000000E+00
      2   -16  8.039631393887E-09  2.367164802461E-08  0.000000000000E+00  0.000000000000E+00
      2   -17 -1.090839143211E-08 -3.636369334147E-09  0.000000000000E+00  0.000000000000E+00
      2   -18  1.658574654257E-08  2.199971930745E-08  0.000000000000E+00  0.000000000000E+00
      2   -19  1.961215862986E-08  2.519009323281E-08  0.000000000000E+00  0.000000000000E+00
      2   -20 -8.496058460775E-08 -8.900452090400E-08  0.000000000000E+00  0.000000000000E+00
      2   -21  6.567627247535E-08  3.869661052662E-08  0.000000000000E+00  0.000000000000E+00
      2   -22  1.403824546498E-07  1.806705960816E-07  0.000000000000E+00  0.000000000000E+00
      2   -23 -3.001013126225E-07 -2.577246489862E-07  0.000000000000E+00  0.000000000000E+00
      2   -24 -1.261334395763E-08 -9.482715056877E-08  0.000000000000E+00  0.000000000000E+00
      3    24  1.120802218612E-06 -1.290480684238E-06  0.000000000000E+00  0.000000000000E+00
      3    23  1.052636065513E-07  1.657659120780E-07  0.000000000000E+00  0.000000000000E+00
      3    22 -8.059722440192E-07  7.650564973643E-07  0.000000000000E+00  0.000000000000E+00
      3    21  3.274727785585E-07 -4.304230101078E-07  0.000000000000E+00  0.000000000000E+00
      3    20  2.492656224241E-07 -1.743638808413E-07  0.000000000000E+00  0.000000000000E+00
      3    19 -2.547174783240E-07  2.678883804797E-07  0.000000000000E+00  0.000000000000E+00
      3    18  2.659888522416E-08 -5.342069542604E-08  0.000000000000E+00  0.000000000000E+00
      3    17  6.921977811964E-08 -6.515769185576E-08  0.000000000000E+00  0.000000000000E+00
      3    16 -3.998872761179E-08  4.343285129498E-08  0.000000000000E+00  0.000000000000E+00
      3    15 -6.468437926130E-10 -5.181807262317E-09  0.000000000000E+00  0.000000000000E+00
      3    14  7.796937428269E-09 -6.156766574128E-09  0.000000000000E+00  0.000000000000E+00
      3    13  5.636776398375E-09  1.500198248519E-08  0.000000000000E+00  0.000000000000E+00
      3    12 -4.845751773734E-08 -3.676474856142E-08  0.000000000000E+00  0.000000000000E+00
      3    11  1.546210654349E-07  1.496511231915E-07  0.000000000000E+00  0.000000000000E+00
      3    10 -5.401853580415E-07 -4.730087363740E-07  0.000000000000E+00  0.000000000000E+00
      3     9  1.405688149675E-06  1.351753652933E-06  0.000000000000E+00  0.000000000000E+00
      3     8 -4.429891185215E-06 -4.107559382083E-06  0.000000000000E+00  0.000000000000E+00
      3     7  1.061383943015E-05  1.035650457548E-05  0.000000000000E+00  0.000000000000E+00
      3     6 -3.052438580201E-05 -2.947957131743E-05  0.000000000000E+00  0.000000000000E+00
